date,equity,cash,open_positions
2023-12-28,75117.81013471568,75117.81013471568,0
2023-12-29,75117.81013471568,75117.81013471568,0
2024-01-02,75117.81013471568,75117.81013471568,0
2024-01-03,75117.81013471568,75117.81013471568,0
2024-01-04,75117.81013471568,75117.81013471568,0
2024-01-05,75117.81013471568,75117.81013471568,0
2024-01-08,75117.81013471568,75117.81013471568,0
2024-01-09,75117.81013471568,75117.81013471568,0
2024-01-10,75117.81013471568,75117.81013471568,0
2024-01-11,75117.81013471568,75117.81013471568,0
2024-01-12,75117.81013471568,75117.81013471568,0
2024-01-16,75117.81013471568,75117.81013471568,0
2024-01-17,75117.81013471568,75117.81013471568,0
2024-01-18,75117.81013471568,75117.81013471568,0
2024-01-19,75117.81013471568,75117.81013471568,0
2024-01-22,75117.81013471568,75117.81013471568,0
2024-01-23,75117.81013471568,75117.81013471568,0
2024-01-24,75117.81013471568,75117.81013471568,0
2024-01-25,75117.81013471568,75117.81013471568,0
2024-01-26,75117.81013471568,75117.81013471568,0
2024-01-29,75117.81013471568,75117.81013471568,0
2024-01-30,75117.81013471568,75117.81013471568,0
2024-01-31,75117.81013471568,75117.81013471568,0
2024-02-01,75117.81013471568,75117.81013471568,0
2024-02-02,75117.81013471568,75117.81013471568,0
2024-02-05,75117.81013471568,75117.81013471568,0
2024-02-06,75117.81013471568,75117.81013471568,0
2024-02-07,75117.81013471568,75117.81013471568,0
2024-02-08,75117.81013471568,75117.81013471568,0
2024-02-09,75117.81013471568,75117.81013471568,0
2024-02-12,75117.81013471568,75117.81013471568,0
2024-02-13,75117.81013471568,75117.81013471568,0
2024-02-14,75117.81013471568,75117.81013471568,0
2024-02-15,75117.81013471568,75117.81013471568,0
2024-02-16,75117.81013471568,75117.81013471568,0
2024-02-20,75117.81013471568,75117.81013471568,0
2024-02-21,75117.81013471568,75117.81013471568,0
2024-02-22,75117.81013471568,75117.81013471568,0
2024-02-23,75117.81013471568,75117.81013471568,0
2024-02-26,75117.81013471568,75117.81013471568,0
2024-02-27,75117.81013471568,75117.81013471568,0
2024-02-28,75117.81013471568,75117.81013471568,0
2024-02-29,75117.81013471568,75117.81013471568,0
2024-03-01,75117.81013471568,75117.81013471568,0
2024-03-04,75117.81013471568,75117.81013471568,0
2024-03-05,75117.81013471568,75117.81013471568,0
2024-03-06,75117.81013471568,75117.81013471568,0
2024-03-07,75117.81013471568,75117.81013471568,0
2024-03-08,75117.81013471568,75117.81013471568,0
2024-03-11,75117.81013471568,75117.81013471568,0
2024-03-12,75117.81013471568,75117.81013471568,0
2024-03-13,75117.81013471568,75117.81013471568,0
2024-03-14,75117.81013471568,75117.81013471568,0
2024-03-15,75117.81013471568,75117.81013471568,0
2024-03-18,75117.81013471568,75117.81013471568,0
2024-03-19,75117.81013471568,75117.81013471568,0
2024-03-20,75117.81013471568,75117.81013471568,0
2024-03-21,75117.81013471568,75117.81013471568,0
2024-03-22,75117.81013471568,75117.81013471568,0
2024-03-25,75117.81013471568,75117.81013471568,0
2024-03-26,75117.81013471568,75117.81013471568,0
2024-03-27,75117.81013471568,75117.81013471568,0
2024-03-28,75117.81013471568,75117.81013471568,0
2024-04-01,75117.81013471568,75117.81013471568,0
2024-04-02,75117.81013471568,75117.81013471568,0
2024-04-03,75117.81013471568,75117.81013471568,0
2024-04-04,75117.81013471568,75117.81013471568,0
2024-04-05,75117.81013471568,75117.81013471568,0
2024-04-08,75117.81013471568,75117.81013471568,0
2024-04-09,75117.81013471568,75117.81013471568,0
2024-04-10,75117.81013471568,75117.81013471568,0
2024-04-11,75117.81013471568,75117.81013471568,0
2024-04-12,75117.81013471568,75117.81013471568,0
2024-04-15,75117.81013471568,75117.81013471568,0
2024-04-16,75117.81013471568,75117.81013471568,0
2024-04-17,75117.81013471568,75117.81013471568,0
2024-04-18,75117.81013471568,75117.81013471568,0
2024-04-19,75117.81013471568,75117.81013471568,0
2024-04-22,75117.81013471568,75117.81013471568,0
2024-04-23,75117.81013471568,75117.81013471568,0
2024-04-24,75117.81013471568,75117.81013471568,0
2024-04-25,75117.81013471568,75117.81013471568,0
2024-04-26,75117.81013471568,75117.81013471568,0
2024-04-29,75117.81013471568,75117.81013471568,0
2024-04-30,75117.81013471568,75117.81013471568,0
2024-05-01,75117.81013471568,75117.81013471568,0
2024-05-02,75117.81013471568,75117.81013471568,0
2024-05-03,75117.81013471568,75117.81013471568,0
2024-05-06,75117.81013471568,75117.81013471568,0
2024-05-07,75117.81013471568,75117.81013471568,0
2024-05-08,75117.81013471568,75117.81013471568,0
2024-05-09,75117.81013471568,75117.81013471568,0
2024-05-10,75117.81013471568,75117.81013471568,0
2024-05-13,75117.81013471568,75117.81013471568,0
2024-05-14,75117.81013471568,75117.81013471568,0
2024-05-15,75117.81013471568,75117.81013471568,0
2024-05-16,75117.81013471568,75117.81013471568,0
2024-05-17,75117.81013471568,75117.81013471568,0
2024-05-20,75117.81013471568,75117.81013471568,0
2024-05-21,75117.81013471568,75117.81013471568,0
2024-05-22,75117.81013471568,75117.81013471568,0
2024-05-23,75117.81013471568,75117.81013471568,0
2024-05-24,75117.81013471568,75117.81013471568,0
2024-05-28,75117.81013471568,75117.81013471568,0
2024-05-29,75117.81013471568,75117.81013471568,0
2024-05-30,75117.81013471568,75117.81013471568,0
2024-05-31,75117.81013471568,75117.81013471568,0
2024-06-03,75117.81013471568,75117.81013471568,0
2024-06-04,75117.81013471568,75117.81013471568,0
2024-06-05,75117.81013471568,75117.81013471568,0
2024-06-06,75117.81013471568,75117.81013471568,0
2024-06-07,75117.81013471568,75117.81013471568,0
2024-06-10,75117.81013471568,75117.81013471568,0
2024-06-11,75117.81013471568,75117.81013471568,0
2024-06-12,75117.81013471568,75117.81013471568,0
2024-06-13,75117.81013471568,75117.81013471568,0
2024-06-14,75117.81013471568,75117.81013471568,0
2024-06-17,75117.81013471568,75117.81013471568,0
2024-06-18,75117.81013471568,75117.81013471568,0
2024-06-20,75117.81013471568,75117.81013471568,0
2024-06-21,75117.81013471568,75117.81013471568,0
2024-06-24,75117.81013471568,75117.81013471568,0
2024-06-25,75117.81013471568,75117.81013471568,0
2024-06-26,75117.81013471568,75117.81013471568,0
2024-06-27,75117.81013471568,75117.81013471568,0
2024-06-28,75117.81013471568,75117.81013471568,0
2024-07-01,75117.81013471568,75117.81013471568,0
2024-07-02,75117.81013471568,75117.81013471568,0
2024-07-03,75117.81013471568,75117.81013471568,0
2024-07-05,75117.81013471568,75117.81013471568,0
2024-07-08,75117.81013471568,75117.81013471568,0
2024-07-09,75117.81013471568,75117.81013471568,0
2024-07-10,75117.81013471568,75117.81013471568,0
2024-07-11,75117.81013471568,75117.81013471568,0
2024-07-12,75117.81013471568,75117.81013471568,0
2024-07-15,75117.81013471568,75117.81013471568,0
2024-07-16,75117.81013471568,75117.81013471568,0
2024-07-17,75117.81013471568,75117.81013471568,0
2024-07-18,75117.81013471568,75117.81013471568,0
2024-07-19,75117.81013471568,75117.81013471568,0
2024-07-22,75117.81013471568,75117.81013471568,0
2024-07-23,75117.81013471568,75117.81013471568,0
2024-07-24,75117.81013471568,75117.81013471568,0
2024-07-25,75117.81013471568,75117.81013471568,0
2024-07-26,75117.81013471568,75117.81013471568,0
2024-07-29,75117.81013471568,75117.81013471568,0
2024-07-30,75117.81013471568,75117.81013471568,0
2024-07-31,75117.81013471568,75117.81013471568,0
2024-08-01,75117.81013471568,75117.81013471568,0
2024-08-02,75117.81013471568,75117.81013471568,0
2024-08-05,75117.81013471568,75117.81013471568,0
2024-08-06,75117.81013471568,75117.81013471568,0
2024-08-07,75117.81013471568,75117.81013471568,0
2024-08-08,75117.81013471568,75117.81013471568,0
2024-08-09,75117.81013471568,75117.81013471568,0
2024-08-12,75117.81013471568,75117.81013471568,0
2024-08-13,75117.81013471568,75117.81013471568,0
2024-08-14,75117.81013471568,75117.81013471568,0
2024-08-15,75117.81013471568,75117.81013471568,0
2024-08-16,75117.81013471568,75117.81013471568,0
2024-08-19,75117.81013471568,75117.81013471568,0
2024-08-20,75117.81013471568,75117.81013471568,0
2024-08-21,75117.81013471568,75117.81013471568,0
2024-08-22,75117.81013471568,75117.81013471568,0
2024-08-23,75117.81013471568,75117.81013471568,0
2024-08-26,75117.81013471568,75117.81013471568,0
2024-08-27,75117.81013471568,75117.81013471568,0
2024-08-28,75117.81013471568,75117.81013471568,0
2024-08-29,75117.81013471568,75117.81013471568,0
2024-08-30,75117.81013471568,75117.81013471568,0
2024-09-03,75117.81013471568,75117.81013471568,0
2024-09-04,75117.81013471568,75117.81013471568,0
2024-09-05,75117.81013471568,75117.81013471568,0
2024-09-06,75117.81013471568,75117.81013471568,0
2024-09-09,75117.81013471568,75117.81013471568,0
